"STATUS_0","Incomplete or invalid"
"A technical problem arose during payment process, giving unpredictable result. Ogone status: %s.","A technical problem arose during payment process, giving unpredictable result. Ogone status: %s."
"An unknown exception was thrown in the payment process. Ogone status: %s.","An unknown exception was thrown in the payment process. Ogone status: %s."
"Waiting for the payment of the customer","Waiting for the payment of the customer"
"Authorization waiting from Ogone","Authorization waiting from Ogone"
"Processed by Ogone","Processed by Ogone"
"Waiting for payment. Ogone status: %s.","Waiting for payment. Ogone status: %s."
"Authorization waiting. Ogone status: %s.","Authorization waiting. Ogone status: %s."
"Authorization uncertain. Ogone status: %s.","Authorization uncertain. Ogone status: %s."
"Processed by Ogone. Payment ID: %s. Ogone status: %s.","Processed by Ogone. Payment ID: %s. Ogone status: %s."
"Ogone server is temporarily not available, please try again later.","Ogone server is temporarily not available, please try again later."
"An error occured during the Ogone request. Your action could not be executed. Message: "%s".","An error occured during the Ogone request. Your action could not be executed. Message: "%s"."
"You already sent a capture request. Please wait until the capture request is acknowledged.","You already sent a capture request. Please wait until the capture request is acknowledged."
"There is one void request waiting. Please wait until this request is acknowledged.","There is one void request waiting. Please wait until this request is acknowledged."
"Start Ogone %s capture request","Start Ogone %s capture request"
"Invoice will be created automatically as soon as Ogone sends an acknowledgement. Ogone status: %s.","Invoice will be created automatically as soon as Ogone sends an acknowledgement. Ogone status: %s."
"The Invoice will be created automatically as soon as Ogone sends an acknowledgement.","The Invoice will be created automatically as soon as Ogone sends an acknowledgement."
"The Invoice was not created. Ogone status: %s.","The Invoice was not created. Ogone status: %s."
"The CreditMemo was not created. Ogone status: %s.","The CreditMemo was not created. Ogone status: %s."
"The Creditmemo will be created automatically as soon as Ogone sends an acknowledgement.","The Creditmemo will be created automatically as soon as Ogone sends an acknowledgement."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ogone sends an acknowledgement.","There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ogone sends an acknowledgement."
"Please use void to cancel the operation.","Please use void to cancel the operation."
"You already sent a void request. Please wait until the void request will be acknowledged.","You already sent a void request. Please wait until the void request will be acknowledged."
"There is one capture request waiting. Please wait until this request is acknowledged.","There is one capture request waiting. Please wait until this request is acknowledged."
"The void request is sent. Please wait until the void request will be accepted.","The void request is sent. Please wait until the void request will be accepted."
"Void order succeed. Ogone status: %s.","Void order succeed. Ogone status: %s."
"Void order failed. Ogone status: %s.","Void order failed. Ogone status: %s."
"Authorization","Authorization"
"Direct Sale","Direct Sale"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"Verical list","Verical list"
"You will be redirected to the payment page after the order confirmation.","You will be redirected to the payment page after the order confirmation."
"Payment failed. Please select another payment method.","Payment failed. Please select another payment method."
"Payment failed. Please review your input or select another payment method.","Payment failed. Please review your input or select another payment method."
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Credit Card Type","Credit Card Type"
"Name on Card","Name on Card"
"Credit Card Number","Credit Card Number"
"Card Verification Number","Card Verification Number"
"Expiration Date","Expiration Date"
"Account holder","Account holder"
"Account number","Account number"
"Bank code","Bank code"
"You will be redirected to Ogone website when you place an order.","You will be redirected to Ogone website when you place an order."
"Please wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds."
"An error occured during 3D-Secure processing of Ogone. Error: %s","Error during 3D-Secure processing of Ogone. Error: %s"
"PSPID is a case sensitive field","PSPID is a case sensitive field"
"SHA-IN Pass phrase","SHA-IN Pass phrase"
"Refer to Ogone's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Refer to Ogone's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>."
"SHA-OUT Pass phrase","SHA-OUT Pass phrase"
"Refer to Ogone's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","Refer to Ogone's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>."
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp","https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp","For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp","For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp","For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp"
"API User","API User"
"API Password","API Password"
"Payment Action","Payment Action"
"If you choose ""Ogone"", you will need to fill in all the following fields.","If you choose ""Ogone"", you will need to fill in all the following fields."
"Payment Template","Payment Template"
"Title of the Ogone Template","Title of the Ogone Template"
"Background Color of Ogone Template","Background Color of Ogone Template"
"Text Color of the Ogone Template","Text Color of the Ogone Template"
"Table Background Color of the Ogone Template","Table Background Color of the Ogone Template"
"Table Text Color of the Ogone Template","Table Text Color of the Ogone Template"
"Button Background Color of the Ogone Template","Button Background Color of the Ogone Template"
"Button Text Color of the Ogone Template","Button Text Color of the Ogone Template"
"Font Family of the Ogone Template","Font Family of the Ogone Template"
"Logo of the Ogone Template","Logo of the Ogone Template"
"Layout of Payment Methods","Layout of Payment Methods"
"e.g: white","e.g: white"
"e.g: black","e.g: black"
"e.g: Verdana","e.g: Verdana"
"Debug","Debug"
"Ogone Account","Ogone Account"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/filename of the logo. The URL must be absolute and stored on a secure server."
"Countries","Countries"
"Card Types","Card Types"
"Enable 3D secure","Enable 3D secure"

